feature,cohens_d,d_IC95,p_raw,ci_lo,ci_hi,p_FDR,gate
QRS_rise_ms_V5,1.1507996882505773,"[+0.91,+1.39]",1.0461027982337658e-18,0.9088316907732114,1.3900358405549098,2.824477555231168e-17,True
QRS_upslope_V5,-0.8655703078084808,"[-1.01,-0.71]",6.79529012166532e-18,-1.0055065495836437,-0.7087259400461705,9.173641664248182e-17,True
Q_amp_II,0.8122499946055854,"[+0.54,+1.19]",8.86045440860441e-14,0.5357708528831274,1.192300801630063,7.97440896774397e-13,True
QRS_upslope_II,-0.6212116484483119,"[-0.77,-0.47]",3.0609721644017194e-11,-0.767046126795154,-0.4700040208546364,1.6529249687769286e-10,True
Q_amp_V5,0.60865913082141,"[+0.34,+0.99]",6.745610136479098e-09,0.3358484832020671,0.9889490658297868,3.035524561415594e-08,True
S_amp_II,-0.4470112830408681,"[-0.70,-0.22]",0.00030857574632610254,-0.7044008033418881,-0.21560680921156644,0.0010414431438505961,True
S_amp_V5,0.42851472327447865,"[+0.29,+0.55]",2.252815772112434e-06,0.2906503384354652,0.5548912466155683,8.689432263862247e-06,True
T_amp_V1,0.4260387585910365,"[+0.15,+0.71]",0.00864701065103608,0.14956473741679924,0.7077318338828835,0.01945577396483118,True
n_leads_morpho_failed,0.4174425807471854,"[+0.14,+0.73]",5.682041807661318e-12,0.1407442295714705,0.7305988517291688,3.83537822017139e-11,True
T_amp_II,0.37368133142041043,"[+0.16,+0.60]",0.0015205724270335199,0.1569010835281406,0.6020680036328602,0.004105545552990504,True
R_amp_V1,0.3497465414796085,"[+0.05,+0.68]",0.16186461661030516,0.05073745374610305,0.6762867371984191,0.2081116499275352,False
R_amp_II,-0.3408268880258298,"[-0.64,-0.05]",0.0004859116160812877,-0.6429249595424502,-0.053041340968385996,0.0014577348482438632,True
R_amp_V5,-0.2900216793461532,"[-0.52,-0.06]",0.032910916965105654,-0.5199639996018162,-0.05727248578703859,0.056139833555685074,False
PR_ms,-0.27749828860732534,"[-0.48,-0.08]",0.005902465930374942,-0.47742695054248124,-0.0783964301120278,0.014487870920011222,False
QRS_ms,0.23095359466148677,"[+0.02,+0.47]",0.05577959337504162,0.023593961800727693,0.466136405841631,0.08859111888977197,False
QT_ms,0.225338022852793,"[+0.07,+0.38]",0.019224246028018057,0.07104579315036022,0.3755990275379156,0.03992728021203751,False
T_amp_V5,-0.1989061501845443,"[-0.38,-0.02]",0.07110260310236696,-0.38076621179390324,-0.019865206316243316,0.101040541250732,False
P_ms,0.18746097725513944,"[+0.03,+0.35]",0.024688452801366802,0.027408586171674267,0.3484551587045655,0.047613444688350264,False
QRS_rise_ms_II,0.1528114032274187,"[-0.03,+0.33]",0.10571105744182799,-0.033916015649480616,0.33027824592854726,0.1427099275464678,False
HR,-0.1515381829462478,"[-0.29,-0.00]",0.34651485317827335,-0.29214035665420995,-0.004612051030670712,0.3898292098255575,False
n_beats,-0.15114544081123857,"[-0.30,-0.00]",0.29144855722502094,-0.295651511153099,-0.0029664813300696656,0.357686865685253,False
QRS_rise_ms_V1,0.1453934074072941,"[-0.02,+0.32]",0.03326804951448004,-0.021925964059769758,0.31964532208744245,0.056139833555685074,False
Q_amp_V1,-0.11966743391196707,"[-0.46,+0.20]",0.984251507370697,-0.4623532459037119,0.2015946482889601,0.984251507370697,False
S_amp_V1,0.10058466929755186,"[-0.16,+0.33]",0.0703589096696847,-0.16457220308125256,0.3266285492394992,0.101040541250732,False
RR_std,-0.09721606432454932,"[-0.23,+0.04]",0.5956559421130678,-0.22543974472457914,0.03782745876147687,0.6185657860404935,False
RR_mean,0.08594198396455667,"[-0.07,+0.24]",0.34651485317827335,-0.06772837492125737,0.2449311127677286,0.3898292098255575,False
QRS_upslope_V1,-0.008900861589289375,"[-0.20,+0.20]",0.5401333996701121,-0.20477152414142152,0.19963605585878147,0.583344071643721,False
